type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/RITZ Island   Big Game 2026 Commercial.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/RITZ Island   Big Game 2026 Commercial.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,1.592999,1.4620020000000002,default,default,,,,,,,3.0550010000000003,"Another day, another ritz party. ",,,,,,,
Text,1.593,28.149,default,default,,,,,,,29.742,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They do have all the ritz crackers, though. That salty, buttery flavor. Let's go for five minutes. I'll only go if my feet don't have to touch the sand at all. Hey, salties. What's the holdup?. It's party time. The holdup is... wait. Not me. Let's go, scarlett. Loved by everyone, even the saltiest. Ritz party!. So loud. So loud. Put the gun on. So loud",0.0,,english,,,,
Word,1.593,0.1999999999999999,default,default,,,,,,,1.793,Another,0.0,"Another day, another ritz party. ",english,0.0,0.0,Another,
Word,1.853,0.2209999999999998,default,default,,,,,,,2.074,"day,",0.0,"Another day, another ritz party. ",english,8.0,8.0,"Another day,",
Word,2.114,0.2600000000000002,default,default,,,,,,,2.374,another,0.0,"Another day, another ritz party. ",english,13.0,13.0,"Another day, another",
Word,2.434,0.2399999999999997,default,default,,,,,,,2.674,Ritz,0.0,"Another day, another ritz party. ",english,21.0,21.0,"Another day, another ritz",
Word,2.714,0.3410000000000002,default,default,,,,,,,3.055,party.,0.0,"Another day, another ritz party. ",english,26.0,26.0,"Another day, another ritz party.",
Sentence,3.2549989999999998,0.8210019999999997,default,default,,,,,,,4.076001,Why didn't they invite us?. ,,,,,,,
Word,3.255,0.1,default,default,,,,,,,3.355,Why,1.0,Why didn't they invite us?. ,english,0.0,33.0,"Another day, another ritz party. Why",
Word,3.375,0.1200000000000001,default,default,,,,,,,3.495,didn't,1.0,Why didn't they invite us?. ,english,4.0,37.0,"Another day, another ritz party. Why didn't",
Word,3.515,0.08,default,default,,,,,,,3.595,they,1.0,Why didn't they invite us?. ,english,11.0,44.0,"Another day, another ritz party. Why didn't they",
Word,3.615,0.2399999999999997,default,default,,,,,,,3.855,invite,1.0,Why didn't they invite us?. ,english,16.0,49.0,"Another day, another ritz party. Why didn't they invite",
Word,3.935,0.1409999999999995,default,default,,,,,,,4.076,us?,1.0,Why didn't they invite us?. ,english,23.0,56.0,"Another day, another ritz party. Why didn't they invite us?",
Sentence,4.215999,0.7200019999999997,default,default,,,,,,,4.936001,"Well, we're salty. ",,,,,,,
Word,4.216,0.0999999999999996,default,default,,,,,,,4.316,"Well,",2.0,"Well, we're salty. ",english,0.0,61.0,"Another day, another ritz party. Why didn't they invite us?. Well,",
Word,4.336,0.1399999999999996,default,default,,,,,,,4.476,we're,2.0,"Well, we're salty. ",english,6.0,67.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're",
Word,4.496,0.4399999999999995,default,default,,,,,,,4.936,salty.,2.0,"Well, we're salty. ",english,12.0,73.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty.",
Sentence,5.1769989999999995,0.7200020000000006,default,default,,,,,,,5.897001,We hate parties. ,,,,,,,
Word,5.177,0.08,default,default,,,,,,,5.257,We,3.0,We hate parties. ,english,0.0,80.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We",
Word,5.297,0.1600000000000001,default,default,,,,,,,5.457,hate,3.0,We hate parties. ,english,3.0,83.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate",
Word,5.497,0.4000000000000003,default,default,,,,,,,5.897,parties.,3.0,We hate parties. ,english,8.0,88.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties.",
Sentence,6.137999,0.42000199999999993,default,default,,,,,,,6.558001,Mingling. ,,,,,,,
Word,6.138,0.4199999999999999,default,default,,,,,,,6.558,Mingling.,4.0,Mingling. ,english,0.0,97.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling.",
Sentence,6.717999,0.5410020000000003,default,default,,,,,,,7.2590010000000005,Nyapping. ,,,,,,,
Word,6.718,0.5410000000000004,default,default,,,,,,,7.259,Nyapping.,5.0,Nyapping. ,english,0.0,107.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping.",
Sentence,7.578999,1.3410020000000002,default,default,,,,,,,8.920001,"They do have all the ritz crackers, though. ",,,,,,,
Word,7.579,0.1200000000000001,default,default,,,,,,,7.699,They,6.0,"They do have all the ritz crackers, though. ",english,0.0,117.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They",
Word,7.719,0.08,default,default,,,,,,,7.799,do,6.0,"They do have all the ritz crackers, though. ",english,5.0,122.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They do",
Word,7.839,0.1009999999999999,default,default,,,,,,,7.94,have,6.0,"They do have all the ritz crackers, though. ",english,8.0,125.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They do have",
Word,7.96,0.0799999999999991,default,default,,,,,,,8.04,all,6.0,"They do have all the ritz crackers, though. ",english,13.0,130.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They do have all",
Word,8.06,0.08,default,default,,,,,,,8.14,the,6.0,"They do have all the ritz crackers, though. ",english,17.0,134.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They do have all the",
Word,8.16,0.1799999999999997,default,default,,,,,,,8.34,Ritz,6.0,"They do have all the ritz crackers, though. ",english,21.0,138.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They do have all the ritz",
Word,8.36,0.3399999999999998,default,default,,,,,,,8.7,"crackers,",6.0,"They do have all the ritz crackers, though. ",english,26.0,143.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They do have all the ritz crackers,",
Word,8.74,0.1799999999999997,default,default,,,,,,,8.92,though.,6.0,"They do have all the ritz crackers, though. ",english,36.0,153.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They do have all the ritz crackers, though.",
Sentence,9.120999000000001,1.1010019999999991,default,default,,,,,,,10.222001,"That salty, buttery flavor. ",,,,,,,
Word,9.121,0.1600000000000001,default,default,,,,,,,9.281,That,7.0,"That salty, buttery flavor. ",english,0.0,161.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They do have all the ritz crackers, though. That",
Word,9.321,0.3000000000000007,default,default,,,,,,,9.621,"salty,",7.0,"That salty, buttery flavor. ",english,5.0,166.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They do have all the ritz crackers, though. That salty,",
Word,9.661,0.261000000000001,default,default,,,,,,,9.922,buttery,7.0,"That salty, buttery flavor. ",english,12.0,173.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They do have all the ritz crackers, though. That salty, buttery",
Word,9.942,0.2799999999999993,default,default,,,,,,,10.222,flavor.,7.0,"That salty, buttery flavor. ",english,20.0,181.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They do have all the ritz crackers, though. That salty, buttery flavor.",
Sentence,10.381999,0.9010019999999997,default,default,,,,,,,11.283001,Let's go for five minutes. ,,,,,,,
Word,10.382,0.1600000000000001,default,default,,,,,,,10.542,Let's,8.0,Let's go for five minutes. ,english,0.0,189.0,"Another day, another ritz party. Why didn't they invite us?. Well, we're salty. We hate parties. Mingling. Nyapping. They do have all the ritz crackers, though. That salty, buttery flavor. Let's",
