type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/Can I get a six pack quickly.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/Can I get a six pack quickly.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,3.873999,1.6230019999999998,default,default,,,,,,,5.497001,"Hey, can i get a six pack quickly?. ",,,,,,,
Text,3.874,26.125,default,default,,,,,,,29.999,"Hey, can i get a six pack quickly?. Perfect. That is a clear and achievable goal. But confidence isn't just built in the gym. Try step boost max, the insoles that add one vertical inch of height and help short kings stand tall. Use code heightmaxing10 for big discounts. What's the difference between me and you?",0.0,,english,,,,
Word,3.874,0.10000000000000009,default,default,,,,,,,3.974,"Hey,",0.0,"Hey, can i get a six pack quickly?. ",english,0.0,0.0,"Hey,",
Word,4.235,0.13999999999999968,default,default,,,,,,,4.375,can,0.0,"Hey, can i get a six pack quickly?. ",english,5.0,5.0,"Hey, can",
Word,4.395,0.040000000000000036,default,default,,,,,,,4.435,I,0.0,"Hey, can i get a six pack quickly?. ",english,9.0,9.0,"Hey, can i",
Word,4.475,0.10000000000000053,default,default,,,,,,,4.575,get,0.0,"Hey, can i get a six pack quickly?. ",english,11.0,11.0,"Hey, can i get",
Word,4.615,0.019999999999999574,default,default,,,,,,,4.635,a,0.0,"Hey, can i get a six pack quickly?. ",english,15.0,15.0,"Hey, can i get a",
Word,4.676,0.20000000000000018,default,default,,,,,,,4.876,six,0.0,"Hey, can i get a six pack quickly?. ",english,17.0,17.0,"Hey, can i get a six",
Word,4.896,0.21999999999999975,default,default,,,,,,,5.116,pack,0.0,"Hey, can i get a six pack quickly?. ",english,21.0,21.0,"Hey, can i get a six pack",
Word,5.136,0.36099999999999977,default,default,,,,,,,5.497,quickly?,0.0,"Hey, can i get a six pack quickly?. ",english,26.0,26.0,"Hey, can i get a six pack quickly?",
Sentence,7.980999,0.4810019999999999,default,default,,,,,,,8.462000999999999,Perfect. ,,,,,,,
Word,7.981,0.48099999999999987,default,default,,,,,,,8.462,Perfect.,1.0,Perfect. ,english,0.0,36.0,"Hey, can i get a six pack quickly?. Perfect.",
Sentence,9.022999,1.5830020000000002,default,default,,,,,,,10.606001000000001,That is a clear and achievable goal. ,,,,,,,
Word,9.023,0.14000000000000057,default,default,,,,,,,9.163,That,2.0,That is a clear and achievable goal. ,english,0.0,45.0,"Hey, can i get a six pack quickly?. Perfect. That",
Word,9.203,0.08000000000000007,default,default,,,,,,,9.283,is,2.0,That is a clear and achievable goal. ,english,5.0,50.0,"Hey, can i get a six pack quickly?. Perfect. That is",
Word,9.323,0.04100000000000037,default,default,,,,,,,9.364,a,2.0,That is a clear and achievable goal. ,english,8.0,53.0,"Hey, can i get a six pack quickly?. Perfect. That is a",
Word,9.424,0.2599999999999998,default,default,,,,,,,9.684,clear,2.0,That is a clear and achievable goal. ,english,10.0,55.0,"Hey, can i get a six pack quickly?. Perfect. That is a clear",
Word,9.724,0.08000000000000007,default,default,,,,,,,9.804,and,2.0,That is a clear and achievable goal. ,english,16.0,61.0,"Hey, can i get a six pack quickly?. Perfect. That is a clear and",
Word,9.824,0.4610000000000003,default,default,,,,,,,10.285,achievable,2.0,That is a clear and achievable goal. ,english,20.0,65.0,"Hey, can i get a six pack quickly?. Perfect. That is a clear and achievable",
Word,10.325,0.2810000000000006,default,default,,,,,,,10.606,goal.,2.0,That is a clear and achievable goal. ,english,31.0,76.0,"Hey, can i get a six pack quickly?. Perfect. That is a clear and achievable goal.",
Sentence,11.106999,1.923002,default,default,,,,,,,13.030001,But confidence isn't just built in the gym. ,,,,,,,
Word,11.107,0.120000000000001,default,default,,,,,,,11.227,But,3.0,But confidence isn't just built in the gym. ,english,0.0,82.0,"Hey, can i get a six pack quickly?. Perfect. That is a clear and achievable goal. But",
Word,11.287,0.48099999999999987,default,default,,,,,,,11.768,confidence,3.0,But confidence isn't just built in the gym. ,english,4.0,86.0,"Hey, can i get a six pack quickly?. Perfect. That is a clear and achievable goal. But confidence",
Word,11.888,0.16000000000000014,default,default,,,,,,,12.048,isn't,3.0,But confidence isn't just built in the gym. ,english,15.0,97.0,"Hey, can i get a six pack quickly?. Perfect. That is a clear and achievable goal. But confidence isn't",
