index,time_sec,video_frame_index,prediction_index,top_regions,png_path
0,0.0,0,0,R Sulcus orbital-H Shaped (2.51); R Gyrus and Sulcus cingul-Ant (2.44); R Gyrus rectus (2.37); R Gyrus orbital (2.31); L Sulcus orbital-H Shaped (2.27); L Sulcus pericallosal (2.24); L Gyrus and Sulcus cingul-Ant (2.23); L Gyrus orbital (2.11),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_065824/frame_0000_0000.0s.png
1,0.5,12,0,R Sulcus orbital-H Shaped (2.51); R Gyrus and Sulcus cingul-Ant (2.44); R Gyrus rectus (2.37); R Gyrus orbital (2.31); L Sulcus orbital-H Shaped (2.27); L Sulcus pericallosal (2.24); L Gyrus and Sulcus cingul-Ant (2.23); L Gyrus orbital (2.11),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_065824/frame_0001_0000.5s.png
2,1.0,24,1,R Gyrus rectus (2.45); L Sulcus pericallosal (2.17); R Gyrus and Sulcus cingul-Ant (2.16); R Gyrus orbital (2.12); L Sulcus oc-temp med and Lingual (2.10); R Sulcus orbital med-olfact (2.05); R Gyrus oc-temp med-Parahip (2.04); L Sulcus orbital-H Shaped (2.04),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_065824/frame_0002_0001.0s.png
3,1.5,36,1,R Gyrus rectus (2.45); L Sulcus pericallosal (2.17); R Gyrus and Sulcus cingul-Ant (2.16); R Gyrus orbital (2.12); L Sulcus oc-temp med and Lingual (2.10); R Sulcus orbital med-olfact (2.05); R Gyrus oc-temp med-Parahip (2.04); L Sulcus orbital-H Shaped (2.04),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_065824/frame_0003_0001.5s.png
4,2.0,48,2,R Gyrus and Sulcus cingul-Ant (2.27); L Sulcus orbital med-olfact (2.14); L Gyrus and Sulcus cingul-Ant (2.12); R Gyrus rectus (2.10); R Sulcus orbital med-olfact (2.09); L Sulcus pericallosal (1.97); L Sulcus orbital-H Shaped (1.96); L Gyrus temporal inf (1.90),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_065824/frame_0004_0002.0s.png
5,2.5,60,2,R Gyrus and Sulcus cingul-Ant (2.27); L Sulcus orbital med-olfact (2.14); L Gyrus and Sulcus cingul-Ant (2.12); R Gyrus rectus (2.10); R Sulcus orbital med-olfact (2.09); L Sulcus pericallosal (1.97); L Sulcus orbital-H Shaped (1.96); L Gyrus temporal inf (1.90),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_065824/frame_0005_0002.5s.png
6,3.0,72,3,R Gyrus and Sulcus cingul-Ant (2.02); L Gyrus and Sulcus cingul-Ant (1.83); R Sulcus orbital med-olfact (1.80); R Gyrus oc-temp med-Parahip (1.71),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_065824/frame_0006_0003.0s.png
7,3.5,84,3,R Gyrus and Sulcus cingul-Ant (2.02); L Gyrus and Sulcus cingul-Ant (1.83); R Sulcus orbital med-olfact (1.80); R Gyrus oc-temp med-Parahip (1.71),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_065824/frame_0007_0003.5s.png
8,4.0,96,4,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_065824/frame_0008_0004.0s.png
9,4.5,108,4,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_065824/frame_0009_0004.5s.png
10,5.0,120,5,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_065824/frame_0010_0005.0s.png
11,5.5,132,5,,/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_065824/frame_0011_0005.5s.png
12,6.0,144,6,L Gyrus temporal inf (1.83); R Gyrus orbital (1.70),/content/gdrive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Jurassic_Park..._Works_Big_Game_Commercial_2026_Xfinity_20260429_065824/frame_0012_0006.0s.png
