type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/Relax your tight end..wav,44100.0,0.0,60.12,,,,,,,,
Video,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/Relax your tight end..mp4,23.976023976023978,0.0,60.12,,,,,,,,
Sentence,6.705999,10.749001999999999,default,default,,,,,,,17.455001,Have you ever in your life seen tight ends this relaxed?. ,,,,,,,
Text,6.706,52.059999999999995,default,default,,,,,,,58.766,"Have you ever in your life seen tight ends this relaxed?. I am so relaxed. They're carefree, calm, serene. You know what these tight ends are so relaxed about?. Prostate cancer screenings. They've learned there's a simple finger-free blood test. Roughly one in eight men would be diagnosed with prostate cancer, and i was one of them. I'm here today because i caught it early. Gronk, what'd i teach you?. Relax your tight end. Prostate cancer screening starts with a simple blood test. Find out if a psa blood test is right for you at relaxitsabloodtest.com. Let's do this!",0.0,,english,,,,
Word,6.706,0.17999999999999972,default,default,,,,,,,6.886,Have,0.0,Have you ever in your life seen tight ends this relaxed?. ,english,0.0,0.0,Have,
Word,6.926,0.1200000000000001,default,default,,,,,,,7.046,you,0.0,Have you ever in your life seen tight ends this relaxed?. ,english,5.0,5.0,Have you,
Word,7.146,0.24099999999999966,default,default,,,,,,,7.387,ever,0.0,Have you ever in your life seen tight ends this relaxed?. ,english,9.0,9.0,Have you ever,
Word,10.609,0.08000000000000007,default,default,,,,,,,10.689,in,0.0,Have you ever in your life seen tight ends this relaxed?. ,english,14.0,14.0,Have you ever in,
Word,10.749,0.16000000000000014,default,default,,,,,,,10.909,your,0.0,Have you ever in your life seen tight ends this relaxed?. ,english,17.0,17.0,Have you ever in your,
Word,11.07,0.29999999999999893,default,default,,,,,,,11.37,life,0.0,Have you ever in your life seen tight ends this relaxed?. ,english,22.0,22.0,Have you ever in your life,
Word,13.572,0.3600000000000012,default,default,,,,,,,13.932,seen,0.0,Have you ever in your life seen tight ends this relaxed?. ,english,27.0,27.0,Have you ever in your life seen,
Word,14.012,0.29999999999999893,default,default,,,,,,,14.312,tight,0.0,Have you ever in your life seen tight ends this relaxed?. ,english,32.0,32.0,Have you ever in your life seen tight,
Word,14.512,0.30100000000000016,default,default,,,,,,,14.813,ends,0.0,Have you ever in your life seen tight ends this relaxed?. ,english,38.0,38.0,Have you ever in your life seen tight ends,
Word,16.274,0.259999999999998,default,default,,,,,,,16.534,this,0.0,Have you ever in your life seen tight ends this relaxed?. ,english,43.0,43.0,Have you ever in your life seen tight ends this,
Word,16.834,0.6209999999999987,default,default,,,,,,,17.455,relaxed?,0.0,Have you ever in your life seen tight ends this relaxed?. ,english,48.0,48.0,Have you ever in your life seen tight ends this relaxed?,
Sentence,18.034999,1.5820020000000008,default,default,,,,,,,19.617001,I am so relaxed. ,,,,,,,
Word,18.035,0.05999999999999872,default,default,,,,,,,18.095,I,1.0,I am so relaxed. ,english,0.0,58.0,Have you ever in your life seen tight ends this relaxed?. I,
Word,18.175,0.14099999999999824,default,default,,,,,,,18.316,am,1.0,I am so relaxed. ,english,2.0,60.0,Have you ever in your life seen tight ends this relaxed?. I am,
Word,18.416,0.28000000000000114,default,default,,,,,,,18.696,so,1.0,I am so relaxed. ,english,5.0,63.0,Have you ever in your life seen tight ends this relaxed?. I am so,
Word,18.776,0.8410000000000011,default,default,,,,,,,19.617,relaxed.,1.0,I am so relaxed. ,english,8.0,66.0,Have you ever in your life seen tight ends this relaxed?. I am so relaxed.,
Sentence,20.897999,6.805002,default,default,,,,,,,27.703001,"They're carefree, calm, serene. ",,,,,,,
Word,20.898,0.1999999999999993,default,default,,,,,,,21.098,They're,2.0,"They're carefree, calm, serene. ",english,0.0,75.0,Have you ever in your life seen tight ends this relaxed?. I am so relaxed. They're,
Word,21.138,1.3809999999999967,default,default,,,,,,,22.519,"carefree,",2.0,"They're carefree, calm, serene. ",english,8.0,83.0,"Have you ever in your life seen tight ends this relaxed?. I am so relaxed. They're carefree,",
