type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.12,default,default,,,,/content/gdrive/MyDrive/tribetest/Jurassic Park... Works   Big Game Commercial 2026   Xfinity.wav,44100.0,0.0,60.12,,,,,,,,
Video,0.0,60.12,default,default,,,,/content/gdrive/MyDrive/tribetest/Jurassic Park... Works   Big Game Commercial 2026   Xfinity.mp4,23.976023976023978,0.0,60.12,,,,,,,,
Sentence,4.269998999999999,0.5200020000000004,default,default,,,,,,,4.790001,What'd i touch?. ,,,,,,,
Text,4.27,52.631,default,default,,,,,,,56.900999999999996,"What'd i touch?. You didn't touch anything. We're. We're stopped. Fences are failing all over the park. John, i can't get jurassic park back online without. Whoa!. This place is awesome. By the way, you should have plugged this in. That could have been bad. Well, this is gonna be a lovely weekend. How did you do this?. I'll show you. Do the roar again. That is one big pile of shrimp. Mr. hammond, i have decided to happily endorse your park. A whole new species of wi-fi at the same price for five years. Nope",0.0,,english,,,,
Word,4.27,0.16000000000000014,default,default,,,,,,,4.43,What'd,0.0,What'd i touch?. ,english,0.0,0.0,What'd,
Word,4.45,0.05999999999999961,default,default,,,,,,,4.51,I,0.0,What'd i touch?. ,english,7.0,7.0,What'd i,
Word,4.55,0.2400000000000002,default,default,,,,,,,4.79,touch?,0.0,What'd i touch?. ,english,9.0,9.0,What'd i touch?,
Sentence,5.089999,0.9410019999999998,default,default,,,,,,,6.031001,You didn't touch anything. ,,,,,,,
Word,5.09,0.10000000000000053,default,default,,,,,,,5.19,You,1.0,You didn't touch anything. ,english,0.0,17.0,What'd i touch?. You,
Word,5.21,0.16000000000000014,default,default,,,,,,,5.37,didn't,1.0,You didn't touch anything. ,english,4.0,21.0,What'd i touch?. You didn't,
Word,5.39,0.22000000000000064,default,default,,,,,,,5.61,touch,1.0,You didn't touch anything. ,english,11.0,28.0,What'd i touch?. You didn't touch,
Word,5.65,0.38099999999999934,default,default,,,,,,,6.031,anything.,1.0,You didn't touch anything. ,english,17.0,34.0,What'd i touch?. You didn't touch anything.,
Sentence,6.050999,0.8000019999999998,default,default,,,,,,,6.851001,We're. ,,,,,,,
Word,6.051,0.7999999999999998,default,default,,,,,,,6.851,We're...,2.0,We're. ,english,0.0,44.0,What'd i touch?. You didn't touch anything. We're. ,
Sentence,6.870999,0.7000019999999992,default,default,,,,,,,7.571001,We're stopped. ,,,,,,,
Word,6.871,0.17999999999999972,default,default,,,,,,,7.051,We're,2.0,We're stopped. ,english,0.0,51.0,What'd i touch?. You didn't touch anything. We're. We're,
Word,7.091,0.47999999999999954,default,default,,,,,,,7.571,stopped.,2.0,We're stopped. ,english,6.0,57.0,What'd i touch?. You didn't touch anything. We're. We're stopped.,
Sentence,8.010999,2.421002000000001,default,default,,,,,,,10.432001000000001,Fences are failing all over the park. ,,,,,,,
Word,8.011,0.28000000000000114,default,default,,,,,,,8.291,Fences,3.0,Fences are failing all over the park. ,english,0.0,66.0,What'd i touch?. You didn't touch anything. We're. We're stopped. Fences,
Word,8.331,0.0600000000000005,default,default,,,,,,,8.391,are,3.0,Fences are failing all over the park. ,english,7.0,73.0,What'd i touch?. You didn't touch anything. We're. We're stopped. Fences are,
Word,8.411,0.3000000000000007,default,default,,,,,,,8.711,failing,3.0,Fences are failing all over the park. ,english,11.0,77.0,What'd i touch?. You didn't touch anything. We're. We're stopped. Fences are failing,
Word,8.771,0.09999999999999964,default,default,,,,,,,8.871,all,3.0,Fences are failing all over the park. ,english,19.0,85.0,What'd i touch?. You didn't touch anything. We're. We're stopped. Fences are failing all,
Word,8.911,0.14100000000000001,default,default,,,,,,,9.052,over,3.0,Fences are failing all over the park. ,english,23.0,89.0,What'd i touch?. You didn't touch anything. We're. We're stopped. Fences are failing all over,
Word,9.072,0.08000000000000007,default,default,,,,,,,9.152,the,3.0,Fences are failing all over the park. ,english,28.0,94.0,What'd i touch?. You didn't touch anything. We're. We're stopped. Fences are failing all over the,
Word,9.192,1.2400000000000002,default,default,,,,,,,10.432,park.,3.0,Fences are failing all over the park. ,english,32.0,98.0,What'd i touch?. You didn't touch anything. We're. We're stopped. Fences are failing all over the park.,
Sentence,10.451999,3.2010020000000003,default,default,,,,,,,13.653001000000001,"John, i can't get jurassic park back online without. ",,,,,,,
Word,10.452,0.3200000000000003,default,default,,,,,,,10.772,"John,",4.0,"John, i can't get jurassic park back online without. ",english,0.0,104.0,"What'd i touch?. You didn't touch anything. We're. We're stopped. Fences are failing all over the park. John,",
Word,11.332,0.05999999999999872,default,default,,,,,,,11.392,I,4.0,"John, i can't get jurassic park back online without. ",english,6.0,110.0,"What'd i touch?. You didn't touch anything. We're. We're stopped. Fences are failing all over the park. John, i",
Word,11.432,0.2400000000000002,default,default,,,,,,,11.672,can't,4.0,"John, i can't get jurassic park back online without. ",english,8.0,112.0,"What'd i touch?. You didn't touch anything. We're. We're stopped. Fences are failing all over the park. John, i can't",
Word,11.752,0.16000000000000014,default,default,,,,,,,11.912,get,4.0,"John, i can't get jurassic park back online without. ",english,14.0,118.0,"What'd i touch?. You didn't touch anything. We're. We're stopped. Fences are failing all over the park. John, i can't get",
Word,11.952,0.4610000000000003,default,default,,,,,,,12.413,Jurassic,4.0,"John, i can't get jurassic park back online without. ",english,18.0,122.0,"What'd i touch?. You didn't touch anything. We're. We're stopped. Fences are failing all over the park. John, i can't get jurassic",
