type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.12,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/Hims Big Game Ad The Rich Live Longer.wav,44100.0,0.0,60.12,,,,,,,,
Video,0.0,60.12,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/Hims Big Game Ad The Rich Live Longer.mp4,23.976023976023978,0.0,60.12,,,,,,,,
Sentence,0.886999,4.180002,default,default,,,,,,,5.067001,Rich people live longer. ,,,,,,,
Text,0.887,58.711999999999996,default,default,,,,,,,59.599,"Rich people live longer. All that money doesn't just buy more stuff. It buys more time. The wealth gap is a health gap. The rich have health care that comes to them. Custom formulated peptides, specialists on call, and preventative care before they need it. They get the best of everything. So why don't you?. Now you can do hims and hers. Diagnostic testing for a complete snapshot of your health. Weight loss treatments that can be micro-dosed to fit your goals. Menopause and testosterone hormones to keep you feeling great. And early cancer detection through a simple blood test. The same science, the same access. No connections required. Now that's rich. Get started today with hims and hers",0.0,,english,,,,
Word,0.887,0.22100000000000009,default,default,,,,,,,1.108,Rich,0.0,Rich people live longer. ,english,0.0,0.0,Rich,
Word,1.229,0.42199999999999993,default,default,,,,,,,1.651,people,0.0,Rich people live longer. ,english,5.0,5.0,Rich people,
Word,4.263,0.30100000000000016,default,default,,,,,,,4.564,live,0.0,Rich people live longer. ,english,12.0,12.0,Rich people live,
Word,4.665,0.40200000000000014,default,default,,,,,,,5.067,longer.,0.0,Rich people live longer. ,english,17.0,17.0,Rich people live longer.,
Sentence,8.179999,3.6030019999999996,default,default,,,,,,,11.783001,All that money doesn't just buy more stuff. ,,,,,,,
Word,8.18,0.16000000000000014,default,default,,,,,,,8.34,All,1.0,All that money doesn't just buy more stuff. ,english,0.0,25.0,Rich people live longer. All,
Word,8.38,0.1999999999999993,default,default,,,,,,,8.58,that,1.0,All that money doesn't just buy more stuff. ,english,4.0,29.0,Rich people live longer. All that,
Word,8.68,0.30100000000000016,default,default,,,,,,,8.981,money,1.0,All that money doesn't just buy more stuff. ,english,9.0,34.0,Rich people live longer. All that money,
Word,10.041,0.32099999999999973,default,default,,,,,,,10.362,doesn't,1.0,All that money doesn't just buy more stuff. ,english,15.0,40.0,Rich people live longer. All that money doesn't,
Word,10.382,0.17999999999999972,default,default,,,,,,,10.562,just,1.0,All that money doesn't just buy more stuff. ,english,23.0,48.0,Rich people live longer. All that money doesn't just,
Word,10.642,0.28000000000000114,default,default,,,,,,,10.922,buy,1.0,All that money doesn't just buy more stuff. ,english,28.0,53.0,Rich people live longer. All that money doesn't just buy,
Word,10.942,0.22000000000000064,default,default,,,,,,,11.162,more,1.0,All that money doesn't just buy more stuff. ,english,32.0,57.0,Rich people live longer. All that money doesn't just buy more,
Word,11.202,0.5809999999999995,default,default,,,,,,,11.783,stuff.,1.0,All that money doesn't just buy more stuff. ,english,37.0,62.0,Rich people live longer. All that money doesn't just buy more stuff.,
Sentence,12.402999000000001,1.2210020000000001,default,default,,,,,,,13.624001000000002,It buys more time. ,,,,,,,
Word,12.403,0.05999999999999872,default,default,,,,,,,12.463,It,2.0,It buys more time. ,english,0.0,69.0,Rich people live longer. All that money doesn't just buy more stuff. It,
Word,12.523,0.3200000000000003,default,default,,,,,,,12.843,buys,2.0,It buys more time. ,english,3.0,72.0,Rich people live longer. All that money doesn't just buy more stuff. It buys,
Word,12.924,0.22000000000000064,default,default,,,,,,,13.144,more,2.0,It buys more time. ,english,8.0,77.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more,
Word,13.204,0.41999999999999993,default,default,,,,,,,13.624,time.,2.0,It buys more time. ,english,13.0,82.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more time.,
Sentence,14.043999000000001,2.0820020000000006,default,default,,,,,,,16.126001000000002,The wealth gap is a health gap. ,,,,,,,
Word,14.044,0.11999999999999922,default,default,,,,,,,14.164,The,3.0,The wealth gap is a health gap. ,english,0.0,88.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more time. The,
Word,14.264,0.3210000000000015,default,default,,,,,,,14.585,wealth,3.0,The wealth gap is a health gap. ,english,4.0,92.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more time. The wealth,
Word,14.645,0.3000000000000007,default,default,,,,,,,14.945,gap,3.0,The wealth gap is a health gap. ,english,11.0,99.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more time. The wealth gap,
Word,15.205,0.09999999999999964,default,default,,,,,,,15.305,is,3.0,The wealth gap is a health gap. ,english,15.0,103.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more time. The wealth gap is,
Word,15.385,0.040000000000000924,default,default,,,,,,,15.425,a,3.0,The wealth gap is a health gap. ,english,18.0,106.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more time. The wealth gap is a,
Word,15.505,0.2809999999999988,default,default,,,,,,,15.786,health,3.0,The wealth gap is a health gap. ,english,20.0,108.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more time. The wealth gap is a health,
Word,15.846,0.28000000000000114,default,default,,,,,,,16.126,gap.,3.0,The wealth gap is a health gap. ,english,27.0,115.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more time. The wealth gap is a health gap.,
Sentence,16.685999,2.2620020000000003,default,default,,,,,,,18.948000999999998,The rich have health care that comes to them. ,,,,,,,
Word,16.686,0.10000000000000142,default,default,,,,,,,16.786,The,4.0,The rich have health care that comes to them. ,english,0.0,120.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more time. The wealth gap is a health gap. The,
Word,16.846,0.22100000000000009,default,default,,,,,,,17.067,rich,4.0,The rich have health care that comes to them. ,english,4.0,124.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more time. The wealth gap is a health gap. The rich,
Word,17.107,0.240000000000002,default,default,,,,,,,17.347,have,4.0,The rich have health care that comes to them. ,english,9.0,129.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more time. The wealth gap is a health gap. The rich have,
Word,17.367,0.259999999999998,default,default,,,,,,,17.627,health,4.0,The rich have health care that comes to them. ,english,14.0,134.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more time. The wealth gap is a health gap. The rich have health,
Word,17.647,0.240000000000002,default,default,,,,,,,17.887,care,4.0,The rich have health care that comes to them. ,english,21.0,141.0,Rich people live longer. All that money doesn't just buy more stuff. It buys more time. The wealth gap is a health gap. The rich have health care,
