type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/New project/Serena Williams Super Bowl LX Commercial ‘Healthier on Ro’.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/New project/Serena Williams Super Bowl LX Commercial ‘Healthier on Ro’.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,0.844999,1.701002,default,default,,,,,,,2.546001,I'm on rho. ,,,,,,,
Text,0.845,28.073,default,default,,,,,,,28.918,I'm on rho. 34 pounds down on glp-1s. Healthier on rho. Supported on rho. Fda approved glp-1 options. Now even in a pill. Weight loss expertise i trust. I'm moving better on rho. I'm feeling better on rho. I'm serena williams. This is me on rho,0.0,,english,,,,
Word,0.845,0.14,default,default,,,,,,,0.985,I'm,0.0,I'm on rho. ,english,0.0,0.0,I'm,
Word,1.345,0.10000000000000009,default,default,,,,,,,1.445,on,0.0,I'm on rho. ,english,4.0,4.0,I'm on,
Word,1.525,1.021,default,default,,,,,,,2.546,Rho.,0.0,I'm on rho. ,english,7.0,7.0,I'm on rho.,
Sentence,2.685999,2.4010019999999996,default,default,,,,,,,5.087000999999999,34 pounds down on glp-1s. ,,,,,,,
Word,2.686,0.1200000000000001,default,default,,,,,,,2.806,34,1.0,34 pounds down on glp-1s. ,english,0.0,12.0,I'm on rho. 34,
Word,2.866,0.33999999999999986,default,default,,,,,,,3.206,pounds,1.0,34 pounds down on glp-1s. ,english,3.0,15.0,I'm on rho. 34 pounds,
Word,3.266,0.3799999999999999,default,default,,,,,,,3.646,down,1.0,34 pounds down on glp-1s. ,english,10.0,22.0,I'm on rho. 34 pounds down,
Word,3.947,0.08000000000000007,default,default,,,,,,,4.027,on,1.0,34 pounds down on glp-1s. ,english,15.0,27.0,I'm on rho. 34 pounds down on,
Word,4.087,1.0,default,default,,,,,,,5.087,GLP-1s.,1.0,34 pounds down on glp-1s. ,english,18.0,30.0,I'm on rho. 34 pounds down on glp-1s.,
Sentence,6.707999,1.3200020000000003,default,default,,,,,,,8.028001,Healthier on rho. ,,,,,,,
Word,6.708,0.5199999999999996,default,default,,,,,,,7.228,Healthier,2.0,Healthier on rho. ,english,0.0,38.0,I'm on rho. 34 pounds down on glp-1s. Healthier,
Word,7.588,0.09999999999999964,default,default,,,,,,,7.688,on,2.0,Healthier on rho. ,english,10.0,48.0,I'm on rho. 34 pounds down on glp-1s. Healthier on,
Word,7.748,0.28000000000000025,default,default,,,,,,,8.028,Rho.,2.0,Healthier on rho. ,english,13.0,51.0,I'm on rho. 34 pounds down on glp-1s. Healthier on rho.,
Sentence,9.208999,1.5210020000000009,default,default,,,,,,,10.730001000000001,Supported on rho. ,,,,,,,
Word,9.209,0.5400000000000009,default,default,,,,,,,9.749,Supported,3.0,Supported on rho. ,english,0.0,56.0,I'm on rho. 34 pounds down on glp-1s. Healthier on rho. Supported,
