type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/기도에 의존하며 사는 것을 멈춰라 (60)   스테이트팜® 광고.wav,44100.0,0.0,60.12,,,,,,,,
Video,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/기도에 의존하며 사는 것을 멈춰라 (60)   스테이트팜® 광고.mp4,23.976023976023978,0.0,60.12,,,,,,,,
Sentence,0.501999,1.643002,default,default,,,,,,,2.145001,"So you guys are just like state farm, right?. ",,,,,,,
Text,0.502,54.815,default,default,,,,,,,55.317,"So you guys are just like state farm, right?. We barely cover boats by the dock. Why barely?. You get what you pay for. Our bike coverage leaves out a lot. I don't have a bike. Can we just get some momentum on the song?. Oh, i'm going. There's damage to your home on this block. We won't make things right, because filing a claim is tough. Can't i just do it in an app or call an agent?. No luck. Here comes the best part. Whoa! i should have gone with state farm. Need a lift?. Yep. Stop living on a prayer and get state farm. So you're not like state farm?. Correct. Not at all",0.0,,english,,,,
Word,0.502,0.07999999999999996,default,default,,,,,,,0.582,So,0.0,"So you guys are just like state farm, right?. ",english,0.0,0.0,So,
Word,0.622,0.07999999999999996,default,default,,,,,,,0.702,you,0.0,"So you guys are just like state farm, right?. ",english,3.0,3.0,So you,
Word,0.723,0.16000000000000003,default,default,,,,,,,0.883,guys,0.0,"So you guys are just like state farm, right?. ",english,7.0,7.0,So you guys,
Word,0.923,0.07999999999999985,default,default,,,,,,,1.003,are,0.0,"So you guys are just like state farm, right?. ",english,12.0,12.0,So you guys are,
Word,1.023,0.14000000000000012,default,default,,,,,,,1.163,just,0.0,"So you guys are just like state farm, right?. ",english,16.0,16.0,So you guys are just,
Word,1.183,0.16100000000000003,default,default,,,,,,,1.344,like,0.0,"So you guys are just like state farm, right?. ",english,21.0,21.0,So you guys are just like,
Word,1.384,0.20000000000000018,default,default,,,,,,,1.584,State,0.0,"So you guys are just like state farm, right?. ",english,26.0,26.0,So you guys are just like state,
Word,1.624,0.2599999999999998,default,default,,,,,,,1.884,"Farm,",0.0,"So you guys are just like state farm, right?. ",english,32.0,32.0,"So you guys are just like state farm,",
Word,1.924,0.22100000000000009,default,default,,,,,,,2.145,right?,0.0,"So you guys are just like state farm, right?. ",english,38.0,38.0,"So you guys are just like state farm, right?",
Sentence,8.214999,2.724002,default,default,,,,,,,10.939001000000001,We barely cover boats by the dock. ,,,,,,,
Word,8.215,0.17999999999999972,default,default,,,,,,,8.395,We,1.0,We barely cover boats by the dock. ,english,0.0,46.0,"So you guys are just like state farm, right?. We",
Word,8.435,0.4009999999999998,default,default,,,,,,,8.836,barely,1.0,We barely cover boats by the dock. ,english,3.0,49.0,"So you guys are just like state farm, right?. We barely",
Word,8.896,0.41999999999999993,default,default,,,,,,,9.316,cover,1.0,We barely cover boats by the dock. ,english,10.0,56.0,"So you guys are just like state farm, right?. We barely cover",
Word,9.376,0.32099999999999973,default,default,,,,,,,9.697,boats,1.0,We barely cover boats by the dock. ,english,16.0,62.0,"So you guys are just like state farm, right?. We barely cover boats",
