type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.12,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/Is there more to life than more.wav,44100.0,0.0,60.12,,,,,,,,
Video,0.0,60.12,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/Is there more to life than more.mp4,23.99,0.0,60.12,,,,,,,,
Sentence,0.360999,6.7240020000000005,default,default,,,,,,,7.085001,The one who dies with the most toys wins. ,,,,,,,
Text,0.361,45.577000000000005,default,default,,,,,,,45.938,"The one who dies with the most toys wins. 50 million americans can't be wrong because winning is more fun. Your smile is brighter than snow. Look at this amazing demonstration. I want to feel more beautiful. In a search that has continued for centuries and its promise of more and more. Daredevil drivers full of fantastic tricks. This just in. You don't want to be less. A series on a changing american market. Come consumer. You've got to learn to get more pleasure out of this. You'll get more, more, more pleasure out of this",0.0,,english,,,,
Word,0.361,0.12,default,default,,,,,,,0.481,The,0.0,The one who dies with the most toys wins. ,english,0.0,0.0,The,
Word,0.721,0.0999999999999999,default,default,,,,,,,0.8209999999999998,one,0.0,The one who dies with the most toys wins. ,english,4.0,4.0,The one,
Word,0.901,0.1399999999999999,default,default,,,,,,,1.041,who,0.0,The one who dies with the most toys wins. ,english,8.0,8.0,The one who,
Word,1.122,0.3999999999999999,default,default,,,,,,,1.522,dies,0.0,The one who dies with the most toys wins. ,english,12.0,12.0,The one who dies,
Word,1.562,0.1199999999999998,default,default,,,,,,,1.682,with,0.0,The one who dies with the most toys wins. ,english,17.0,17.0,The one who dies with,
Word,1.702,0.08,default,default,,,,,,,1.782,the,0.0,The one who dies with the most toys wins. ,english,22.0,22.0,The one who dies with the,
Word,1.902,0.32,default,default,,,,,,,2.222,most,0.0,The one who dies with the most toys wins. ,english,26.0,26.0,The one who dies with the most,
Word,2.322,0.681,default,default,,,,,,,3.003,toys,0.0,The one who dies with the most toys wins. ,english,31.0,31.0,The one who dies with the most toys,
