type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/HUNGRY FOR THE TRUTH   Uber Eats.wav,44100.0,0.0,60.12,,,,,,,,
Video,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/HUNGRY FOR THE TRUTH   Uber Eats.mp4,23.976023976023978,0.0,60.12,,,,,,,,
Sentence,0.616999,2.5410019999999998,default,default,,,,,,,3.1580009999999996,"When a quarterback runs, they call it a scramble. ",,,,,,,
Text,0.617,59.361000000000004,default,default,,,,,,,59.978,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot keep this up. Players' names. Cj hamm. Malik hamm. You're cherry picking. Gerard cherry. Deron cherry. Oh, did you tell him about pancake blocks?. Several times. Take a closer look, mr. bradley. Tell me, what do you see?. Pro football hall of fame?. It's a juicer. What?. The hall of fame's a juicer, bradley!. Check it out!. It's all food, bradley!. Food. No. food. No. food. No. No!. Enough!. You're never gonna convince me that football's selling food. So what do you say we just squash this beef?. Yeah. Beef's food. So squash. You son of a... burgers!. When football makes you hungry, order uber eats",0.0,,english,,,,
Word,0.617,0.12,default,default,,,,,,,0.737,When,0.0,"When a quarterback runs, they call it a scramble. ",english,0.0,0.0,When,
Word,0.757,0.02,default,default,,,,,,,0.777,a,0.0,"When a quarterback runs, they call it a scramble. ",english,5.0,5.0,When a,
Word,0.837,0.54,default,default,,,,,,,1.377,quarterback,0.0,"When a quarterback runs, they call it a scramble. ",english,7.0,7.0,When a quarterback,
Word,1.477,0.381,default,default,,,,,,,1.858,"runs,",0.0,"When a quarterback runs, they call it a scramble. ",english,19.0,19.0,"When a quarterback runs,",
Word,1.898,0.1399999999999999,default,default,,,,,,,2.038,they,0.0,"When a quarterback runs, they call it a scramble. ",english,25.0,25.0,"When a quarterback runs, they",
Word,2.078,0.2000000000000001,default,default,,,,,,,2.278,call,0.0,"When a quarterback runs, they call it a scramble. ",english,30.0,30.0,"When a quarterback runs, they call",
Word,2.298,0.08,default,default,,,,,,,2.378,it,0.0,"When a quarterback runs, they call it a scramble. ",english,35.0,35.0,"When a quarterback runs, they call it",
Word,2.418,0.04,default,default,,,,,,,2.458,a,0.0,"When a quarterback runs, they call it a scramble. ",english,38.0,38.0,"When a quarterback runs, they call it a",
Word,2.498,0.6599999999999997,default,default,,,,,,,3.158,scramble.,0.0,"When a quarterback runs, they call it a scramble. ",english,40.0,40.0,"When a quarterback runs, they call it a scramble.",
Sentence,3.697999,1.961002,default,default,,,,,,,5.659001,"You want a morning scramble, bradley?. ",,,,,,,
Word,3.698,0.1200000000000001,default,default,,,,,,,3.818,You,1.0,"You want a morning scramble, bradley?. ",english,0.0,50.0,"When a quarterback runs, they call it a scramble. You",
Word,3.838,0.1009999999999999,default,default,,,,,,,3.939,want,1.0,"You want a morning scramble, bradley?. ",english,4.0,54.0,"When a quarterback runs, they call it a scramble. You want",
Word,3.959,0.06,default,default,,,,,,,4.019,a,1.0,"You want a morning scramble, bradley?. ",english,9.0,59.0,"When a quarterback runs, they call it a scramble. You want a",
Word,4.039,0.2800000000000002,default,default,,,,,,,4.319,morning,1.0,"You want a morning scramble, bradley?. ",english,11.0,61.0,"When a quarterback runs, they call it a scramble. You want a morning",
Word,4.359,0.6399999999999997,default,default,,,,,,,4.999,"scramble,",1.0,"You want a morning scramble, bradley?. ",english,19.0,69.0,"When a quarterback runs, they call it a scramble. You want a morning scramble,",
Word,5.039,0.6200000000000001,default,default,,,,,,,5.659,Bradley?,1.0,"You want a morning scramble, bradley?. ",english,29.0,79.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?",
Sentence,6.519998999999999,1.460002000000001,default,default,,,,,,,7.980001000000001,Don't you have somewhere else to be?. ,,,,,,,
Word,6.52,0.2000000000000001,default,default,,,,,,,6.72,Don't,2.0,Don't you have somewhere else to be?. ,english,0.0,89.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't",
Word,6.74,0.1200000000000001,default,default,,,,,,,6.86,you,2.0,Don't you have somewhere else to be?. ,english,6.0,95.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you",
Word,6.88,0.1600000000000001,default,default,,,,,,,7.04,have,2.0,Don't you have somewhere else to be?. ,english,10.0,99.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have",
Word,7.08,0.3200000000000003,default,default,,,,,,,7.4,somewhere,2.0,Don't you have somewhere else to be?. ,english,15.0,104.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere",
Word,7.44,0.1599999999999992,default,default,,,,,,,7.6,else,2.0,Don't you have somewhere else to be?. ,english,25.0,114.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else",
Word,7.62,0.0999999999999996,default,default,,,,,,,7.72,to,2.0,Don't you have somewhere else to be?. ,english,30.0,119.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to",
Word,7.74,0.2400000000000002,default,default,,,,,,,7.98,be?,2.0,Don't you have somewhere else to be?. ,english,33.0,122.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?",
Sentence,8.600999000000002,0.8200019999999985,default,default,,,,,,,9.421001,Think about it. ,,,,,,,
Word,8.601,0.2599999999999998,default,default,,,,,,,8.861,Think,3.0,Think about it. ,english,0.0,127.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think",
Word,8.921,0.3800000000000008,default,default,,,,,,,9.301,about,3.0,Think about it. ,english,6.0,133.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about",
Word,9.361,0.0599999999999987,default,default,,,,,,,9.421,it.,3.0,Think about it. ,english,12.0,139.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it.",
Sentence,9.700999000000001,0.9210019999999993,default,default,,,,,,,10.622001000000001,Field goal post. ,,,,,,,
Word,9.701,0.2599999999999998,default,default,,,,,,,9.961,Field,4.0,Field goal post. ,english,0.0,143.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field",
Word,10.001,0.1600000000000001,default,default,,,,,,,10.161,goal,4.0,Field goal post. ,english,6.0,149.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal",
Word,10.221,0.4009999999999998,default,default,,,,,,,10.622,post.,4.0,Field goal post. ,english,11.0,154.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post.",
Sentence,10.661999000000002,1.4000019999999986,default,default,,,,,,,12.062001,Designed after a fork. ,,,,,,,
Word,10.662,0.5,default,default,,,,,,,11.162,Designed,5.0,Designed after a fork. ,english,0.0,160.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed",
Word,11.222,0.2400000000000002,default,default,,,,,,,11.462,after,5.0,Designed after a fork. ,english,9.0,169.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after",
Word,11.502,0.0199999999999995,default,default,,,,,,,11.522,a,5.0,Designed after a fork. ,english,15.0,175.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a",
Word,11.602,0.4599999999999991,default,default,,,,,,,12.062,fork.,5.0,Designed after a fork. ,english,17.0,177.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork.",
Sentence,12.201999,0.8610020000000006,default,default,,,,,,,13.063001000000002,That can't be true. ,,,,,,,
Word,12.202,0.1400000000000005,default,default,,,,,,,12.342,That,6.0,That can't be true. ,english,0.0,183.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That",
Word,12.382,0.200000000000001,default,default,,,,,,,12.582,can't,6.0,That can't be true. ,english,5.0,188.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't",
Word,12.622,0.0999999999999996,default,default,,,,,,,12.722,be,6.0,That can't be true. ,english,11.0,194.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be",
Word,12.763,0.3000000000000007,default,default,,,,,,,13.063,true.,6.0,That can't be true. ,english,14.0,197.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true.",
Sentence,13.362999,1.2400020000000003,default,default,,,,,,,14.603001,Football is not selling food. ,,,,,,,
Word,13.363,0.3000000000000007,default,default,,,,,,,13.663,Football,7.0,Football is not selling food. ,english,0.0,203.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football",
Word,13.683,0.0600000000000005,default,default,,,,,,,13.743,is,7.0,Football is not selling food. ,english,9.0,212.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is",
Word,13.783,0.1799999999999997,default,default,,,,,,,13.963,not,7.0,Football is not selling food. ,english,12.0,215.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not",
Word,13.983,0.2999999999999989,default,default,,,,,,,14.283,selling,7.0,Football is not selling food. ,english,16.0,219.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling",
Word,14.323,0.2799999999999993,default,default,,,,,,,14.603,food.,7.0,Football is not selling food. ,english,24.0,227.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food.",
Sentence,14.882999,1.1210020000000023,default,default,,,,,,,16.004001000000002,We cannot keep this up. ,,,,,,,
Word,14.883,0.1210000000000004,default,default,,,,,,,15.004,We,8.0,We cannot keep this up. ,english,0.0,233.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We",
Word,15.044,0.2999999999999989,default,default,,,,,,,15.344,cannot,8.0,We cannot keep this up. ,english,3.0,236.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot",
Word,15.364,0.1799999999999997,default,default,,,,,,,15.544,keep,8.0,We cannot keep this up. ,english,10.0,243.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot keep",
Word,15.564,0.1600000000000001,default,default,,,,,,,15.724,this,8.0,We cannot keep this up. ,english,15.0,248.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot keep this",
Word,15.864,0.1400000000000005,default,default,,,,,,,16.004,up.,8.0,We cannot keep this up. ,english,20.0,253.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot keep this up.",
Sentence,16.143998999999997,0.8200020000000002,default,default,,,,,,,16.964000999999996,Players' names. ,,,,,,,
Word,16.144,0.360000000000003,default,default,,,,,,,16.504,Players',9.0,Players' names. ,english,0.0,257.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot keep this up. Players'",
Word,16.564,0.3999999999999986,default,default,,,,,,,16.964,names.,9.0,Players' names. ,english,9.0,266.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot keep this up. Players' names.",
Sentence,17.304999,0.6800019999999997,default,default,,,,,,,17.985000999999997,Cj hamm. ,,,,,,,
Word,17.305,0.4400000000000013,default,default,,,,,,,17.745,CJ,10.0,Cj hamm. ,english,0.0,273.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot keep this up. Players' names. Cj",
Word,17.785,0.1999999999999993,default,default,,,,,,,17.985,Hamm.,10.0,Cj hamm. ,english,3.0,276.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot keep this up. Players' names. Cj hamm.",
Sentence,18.184998999999998,0.7400020000000019,default,default,,,,,,,18.925000999999998,Malik hamm. ,,,,,,,
Word,18.185,0.3000000000000007,default,default,,,,,,,18.485,Malik,11.0,Malik hamm. ,english,0.0,282.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot keep this up. Players' names. Cj hamm. Malik",
Word,18.525,0.4000000000000021,default,default,,,,,,,18.925,Hamm.,11.0,Malik hamm. ,english,6.0,288.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot keep this up. Players' names. Cj hamm. Malik hamm.",
Sentence,18.964999,1.3010019999999984,default,default,,,,,,,20.266000999999996,You're cherry picking. ,,,,,,,
Word,18.965,0.1600000000000001,default,default,,,,,,,19.125,You're,12.0,You're cherry picking. ,english,0.0,294.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot keep this up. Players' names. Cj hamm. Malik hamm. You're",
Word,19.145,0.3010000000000019,default,default,,,,,,,19.446,cherry,12.0,You're cherry picking. ,english,7.0,301.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot keep this up. Players' names. Cj hamm. Malik hamm. You're cherry",
Word,19.486,0.7799999999999976,default,default,,,,,,,20.266,picking.,12.0,You're cherry picking. ,english,14.0,308.0,"When a quarterback runs, they call it a scramble. You want a morning scramble, bradley?. Don't you have somewhere else to be?. Think about it. Field goal post. Designed after a fork. That can't be true. Football is not selling food. We cannot keep this up. Players' names. Cj hamm. Malik hamm. You're cherry picking.",
Sentence,20.845999,1.181002000000001,default,default,,,,,,,22.027001,Gerard cherry. ,,,,,,,
