type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/17~28/Take A Look   Liquid I.V. Game Day 2026 Commercial.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/drive/MyDrive/tribetest/17~28/Take A Look   Liquid I.V. Game Day 2026 Commercial.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,1.707999,2.3840019999999993,default,default,,,,,,,4.092001,How can i just let you walk away?. ,,,,,,,
Text,1.708,28.331000000000003,default,default,,,,,,,30.039,"How can i just let you walk away?. When all i can do is watch you leave. So take a look at me now. There's just nothing to hate. And there's nothing left here to remind me. Just a memory of your face. Take a look at me now. Hydrate with liquid iv. Can someone let me down, please?",0.0,,english,,,,
Word,1.708,0.17999999999999994,default,default,,,,,,,1.888,How,0.0,How can i just let you walk away?. ,english,0.0,0.0,How,
Word,1.908,0.2610000000000001,default,default,,,,,,,2.169,can,0.0,How can i just let you walk away?. ,english,4.0,4.0,How can,
Word,2.289,0.08000000000000007,default,default,,,,,,,2.369,I,0.0,How can i just let you walk away?. ,english,8.0,8.0,How can i,
Word,2.389,0.20100000000000007,default,default,,,,,,,2.59,just,0.0,How can i just let you walk away?. ,english,10.0,10.0,How can i just,
Word,2.65,0.4410000000000003,default,default,,,,,,,3.091,let,0.0,How can i just let you walk away?. ,english,15.0,15.0,How can i just let,
Word,3.131,0.16000000000000014,default,default,,,,,,,3.291,you,0.0,How can i just let you walk away?. ,english,19.0,19.0,How can i just let you,
Word,3.331,0.26000000000000023,default,default,,,,,,,3.591,walk,0.0,How can i just let you walk away?. ,english,23.0,23.0,How can i just let you walk,
Word,3.672,0.4199999999999995,default,default,,,,,,,4.092,away?,0.0,How can i just let you walk away?. ,english,28.0,28.0,How can i just let you walk away?,
Sentence,4.853999,2.4240019999999993,default,default,,,,,,,7.278001,When all i can do is watch you leave. ,,,,,,,
Word,4.854,0.2400000000000002,default,default,,,,,,,5.094,When,1.0,When all i can do is watch you leave. ,english,0.0,35.0,How can i just let you walk away?. When,
Word,5.174,0.12099999999999955,default,default,,,,,,,5.295,all,1.0,When all i can do is watch you leave. ,english,5.0,40.0,How can i just let you walk away?. When all,
Word,5.415,0.05999999999999961,default,default,,,,,,,5.475,I,1.0,When all i can do is watch you leave. ,english,9.0,44.0,How can i just let you walk away?. When all i,
Word,5.535,0.17999999999999972,default,default,,,,,,,5.715,can,1.0,When all i can do is watch you leave. ,english,11.0,46.0,How can i just let you walk away?. When all i can,
