type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.12,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/Oakley Meta   Athletic Intelligence is Here - Part One.wav,44100.0,0.0,30.12,,,,,,,,
Video,0.0,30.12,default,default,,,,/content/drive/MyDrive/연선 tribe/New project/Oakley Meta   Athletic Intelligence is Here - Part One.mp4,23.976023976023978,0.0,30.12,,,,,,,,
Sentence,2.6869989999999997,2.7420020000000003,default,default,,,,,,,5.4290009999999995,"Hey meta, play my beast mode playlist. ",,,,,,,
Text,2.687,8.847000000000001,default,default,,,,,,,11.534,"Hey meta, play my beast mode playlist. Hey meta, do vultures eat people?. Hey meta, is it okay to eat mud?. Hey meta, who said humans can't fly?",0.0,,english,,,,
Word,2.687,0.1600000000000001,default,default,,,,,,,2.847,Hey,0.0,"Hey meta, play my beast mode playlist. ",english,0.0,0.0,Hey,
Word,2.887,0.3399999999999998,default,default,,,,,,,3.227,"Meta,",0.0,"Hey meta, play my beast mode playlist. ",english,4.0,4.0,"Hey meta,",
Word,3.868,0.2200000000000002,default,default,,,,,,,4.088,play,0.0,"Hey meta, play my beast mode playlist. ",english,10.0,10.0,"Hey meta, play",
Word,4.108,0.1800000000000006,default,default,,,,,,,4.288,my,0.0,"Hey meta, play my beast mode playlist. ",english,15.0,15.0,"Hey meta, play my",
Word,4.328,0.2199999999999997,default,default,,,,,,,4.548,beast,0.0,"Hey meta, play my beast mode playlist. ",english,18.0,18.0,"Hey meta, play my beast",
Word,4.608,0.1610000000000004,default,default,,,,,,,4.769,mode,0.0,"Hey meta, play my beast mode playlist. ",english,24.0,24.0,"Hey meta, play my beast mode",
Word,4.849,0.5800000000000001,default,default,,,,,,,5.429,playlist.,0.0,"Hey meta, play my beast mode playlist. ",english,29.0,29.0,"Hey meta, play my beast mode playlist.",
Sentence,5.728999,2.482002,default,default,,,,,,,8.211001,"Hey meta, do vultures eat people?. ",,,,,,,
Word,5.729,0.2199999999999997,default,default,,,,,,,5.949,Hey,1.0,"Hey meta, do vultures eat people?. ",english,0.0,39.0,"Hey meta, play my beast mode playlist. Hey",
Word,5.969,0.2009999999999996,default,default,,,,,,,6.17,"Meta,",1.0,"Hey meta, do vultures eat people?. ",english,4.0,43.0,"Hey meta, play my beast mode playlist. Hey meta,",
Word,6.19,0.04,default,default,,,,,,,6.23,do,1.0,"Hey meta, do vultures eat people?. ",english,10.0,49.0,"Hey meta, play my beast mode playlist. Hey meta, do",
Word,6.25,0.2599999999999998,default,default,,,,,,,6.51,vultures,1.0,"Hey meta, do vultures eat people?. ",english,13.0,52.0,"Hey meta, play my beast mode playlist. Hey meta, do vultures",
Word,6.63,0.4400000000000004,default,default,,,,,,,7.07,eat,1.0,"Hey meta, do vultures eat people?. ",english,22.0,61.0,"Hey meta, play my beast mode playlist. Hey meta, do vultures eat",
Word,7.991,0.2200000000000006,default,default,,,,,,,8.211,people?,1.0,"Hey meta, do vultures eat people?. ",english,26.0,65.0,"Hey meta, play my beast mode playlist. Hey meta, do vultures eat people?",
Sentence,8.230999,1.681002000000001,default,default,,,,,,,9.912001000000002,"Hey meta, is it okay to eat mud?. ",,,,,,,
Word,8.231,0.0999999999999996,default,default,,,,,,,8.331,Hey,2.0,"Hey meta, is it okay to eat mud?. ",english,0.0,74.0,"Hey meta, play my beast mode playlist. Hey meta, do vultures eat people?. Hey",
Word,8.351,0.1599999999999983,default,default,,,,,,,8.511,"Meta,",2.0,"Hey meta, is it okay to eat mud?. ",english,4.0,78.0,"Hey meta, play my beast mode playlist. Hey meta, do vultures eat people?. Hey meta,",
Word,8.571,0.0400000000000009,default,default,,,,,,,8.611,is,2.0,"Hey meta, is it okay to eat mud?. ",english,10.0,84.0,"Hey meta, play my beast mode playlist. Hey meta, do vultures eat people?. Hey meta, is",
