type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/America Needs Neighbors Like You l Redfin x Rocket Mortgage.wav,44100.0,0.0,60.12,,,,,,,,
Video,0.0,60.12,default,default,,,,/content/drive/MyDrive/tribetest/superball6~16/America Needs Neighbors Like You l Redfin x Rocket Mortgage.mp4,23.976023976023978,0.0,60.12,,,,,,,,
Sentence,1.187999,3.562002,default,default,,,,,,,4.750001,It's a beautiful day in my neighborhood. ,,,,,,,
Text,1.188,39.089999999999996,default,default,,,,,,,40.278,"It's a beautiful day in my neighborhood. Beautiful day for a neighbor. Would you be mine?. I know it's hard, sweetie. But you'll still see dad. It's a neighborly day in this beautywood. A neighborly day for a beauty. Would you be mine?. Thank you. Stop. Could you be mine?. Big storm coming in. I have always wanted to have frankie!. Frankie!. Hi!. Thank you so much. Okay. Thank you so much",0.0,,english,,,,
Word,1.188,0.24,default,default,,,,,,,1.428,It's,0.0,It's a beautiful day in my neighborhood. ,english,0.0,0.0,It's,
Word,1.568,0.040000000000000036,default,default,,,,,,,1.608,a,0.0,It's a beautiful day in my neighborhood. ,english,5.0,5.0,It's a,
Word,1.648,0.821,default,default,,,,,,,2.469,beautiful,0.0,It's a beautiful day in my neighborhood. ,english,7.0,7.0,It's a beautiful,
Word,2.569,0.3599999999999999,default,default,,,,,,,2.929,day,0.0,It's a beautiful day in my neighborhood. ,english,17.0,17.0,It's a beautiful day,
Word,3.009,0.08000000000000007,default,default,,,,,,,3.089,in,0.0,It's a beautiful day in my neighborhood. ,english,21.0,21.0,It's a beautiful day in,
Word,3.109,0.14000000000000012,default,default,,,,,,,3.249,my,0.0,It's a beautiful day in my neighborhood. ,english,24.0,24.0,It's a beautiful day in my,
Word,3.369,1.3809999999999998,default,default,,,,,,,4.75,neighborhood.,0.0,It's a beautiful day in my neighborhood. ,english,27.0,27.0,It's a beautiful day in my neighborhood.,
