type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/Can't Live There   Homes.com.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/Can't Live There   Homes.com.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,0.190999,5.383002,default,default,,,,,,,5.574001,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",,,,,,,
Text,0.191,29.767,default,default,,,,,,,29.958,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. It'll be quicker to list the places you can't, like. The tarmac on the baker international. The business end of a driving range. The floor in a decommissioned soviet space station. In the mariana trench. I need to pee. Or in the path of a haboo. Like a haboo. That. But otherwise. If you can live in it, you're going to find it on apartments.com. And homes.com. The place. To find a place",0.0,,english,,,,
Word,0.191,0.14,default,default,,,,,,,0.331,With,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,0.0,0.0,With,
Word,0.391,0.28,default,default,,,,,,,0.671,millions,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,5.0,5.0,With millions,
Word,0.711,0.06,default,default,,,,,,,0.7709999999999999,of,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,14.0,14.0,With millions of,
Word,0.791,0.3809999999999999,default,default,,,,,,,1.172,listings,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,17.0,17.0,With millions of listings,
Word,1.252,0.06,default,default,,,,,,,1.312,on,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,26.0,26.0,With millions of listings on,
Word,1.352,0.9799999999999998,default,default,,,,,,,2.332,Apartments.com,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,29.0,29.0,With millions of listings on apartments.com,
Word,2.452,0.1400000000000001,default,default,,,,,,,2.592,and,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,44.0,44.0,With millions of listings on apartments.com and,
Word,2.652,0.5609999999999999,default,default,,,,,,,3.213,"Homes.com,",0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,48.0,48.0,"With millions of listings on apartments.com and homes.com,",
Word,3.233,0.2799999999999998,default,default,,,,,,,3.513,you're,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,59.0,59.0,"With millions of listings on apartments.com and homes.com, you're",
Word,3.533,0.1,default,default,,,,,,,3.633,going,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,66.0,66.0,"With millions of listings on apartments.com and homes.com, you're going",
Word,3.653,0.04,default,default,,,,,,,3.693,to,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,72.0,72.0,"With millions of listings on apartments.com and homes.com, you're going to",
Word,3.733,0.1400000000000001,default,default,,,,,,,3.873,find,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,75.0,75.0,"With millions of listings on apartments.com and homes.com, you're going to find",
Word,3.913,0.3000000000000002,default,default,,,,,,,4.213,virtually,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,80.0,80.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually",
Word,4.333,0.141,default,default,,,,,,,4.474,any,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,90.0,90.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any",
Word,4.554,0.2599999999999998,default,default,,,,,,,4.814,place,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,94.0,94.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place",
Word,4.894,0.1200000000000001,default,default,,,,,,,5.014,you,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,100.0,100.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you",
Word,5.054,0.1799999999999997,default,default,,,,,,,5.234,can,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,104.0,104.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can",
Word,5.334,0.2400000000000002,default,default,,,,,,,5.574,live.,0.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. ",english,108.0,108.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live.",
Sentence,5.593999,2.8420019999999995,default,default,,,,,,,8.436001,"It'll be quicker to list the places you can't, like. ",,,,,,,
Word,5.594,0.0999999999999996,default,default,,,,,,,5.694,It'll,1.0,"It'll be quicker to list the places you can't, like. ",english,0.0,114.0,"With millions of listings on apartments.com and homes.com, you're going to find virtually any place you can live. It'll",
