type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/임무 SOS 신호 감지.wav,44100.0,0.0,30.09,,,,,,,,
Video,0.0,30.09,default,default,,,,/content/gdrive/MyDrive/tribetest/29~38/임무 SOS 신호 감지.mp4,23.976023976023978,0.0,30.09,,,,,,,,
Sentence,0.27099900000000005,6.864002,default,default,,,,,,,7.135001,"In a world where people may miss a warning signal from their body, one woman... hello?. ",,,,,,,
Text,0.271,26.894,default,default,,,,,,,27.165,"In a world where people may miss a warning signal from their body, one woman... hello?. Okay, two women are spreading the word. People with high blood pressure are type 2 diabetes. Like my mom and you, chica. Our kidneys could be sending out an sos. About increased risk like heart attack or stroke. Don't miss the signal. Ask your doctor about a simple urine test called uacr and join our mission",0.0,,english,,,,
Word,0.271,0.0999999999999999,default,default,,,,,,,0.3709999999999999,In,0.0,"In a world where people may miss a warning signal from their body, one woman... hello?. ",english,0.0,0.0,In,
Word,0.451,0.06,default,default,,,,,,,0.511,a,0.0,"In a world where people may miss a warning signal from their body, one woman... hello?. ",english,3.0,3.0,In a,
Word,0.571,0.5010000000000001,default,default,,,,,,,1.072,world,0.0,"In a world where people may miss a warning signal from their body, one woman... hello?. ",english,5.0,5.0,In a world,
Word,1.292,0.1999999999999999,default,default,,,,,,,1.492,where,0.0,"In a world where people may miss a warning signal from their body, one woman... hello?. ",english,11.0,11.0,In a world where,
Word,1.552,0.3999999999999999,default,default,,,,,,,1.952,people,0.0,"In a world where people may miss a warning signal from their body, one woman... hello?. ",english,17.0,17.0,In a world where people,
Word,2.112,0.2199999999999997,default,default,,,,,,,2.332,may,0.0,"In a world where people may miss a warning signal from their body, one woman... hello?. ",english,24.0,24.0,In a world where people may,
Word,2.412,0.2400000000000002,default,default,,,,,,,2.652,miss,0.0,"In a world where people may miss a warning signal from their body, one woman... hello?. ",english,28.0,28.0,In a world where people may miss,
Word,2.732,0.0999999999999996,default,default,,,,,,,2.832,a,0.0,"In a world where people may miss a warning signal from their body, one woman... hello?. ",english,33.0,33.0,In a world where people may miss a,
Word,2.872,0.3810000000000002,default,default,,,,,,,3.253,warning,0.0,"In a world where people may miss a warning signal from their body, one woman... hello?. ",english,35.0,35.0,In a world where people may miss a warning,
Word,3.273,0.3999999999999999,default,default,,,,,,,3.673,signal,0.0,"In a world where people may miss a warning signal from their body, one woman... hello?. ",english,43.0,43.0,In a world where people may miss a warning signal,
