type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Video,0.0,32.16,default,default,,,,/content/drive/MyDrive/New project/Salesforce Big Game Ad @MrBeast's Vault.mp4,23.976023976023978,0.0,32.16,,,,,,,,
Audio,0.0,32.15997732426304,default,default,,,,/content/drive/MyDrive/New project/Salesforce Big Game Ad @MrBeast's Vault.wav,44100.0,0.0,32.15997732426304,,,,,,,,
Sentence,0.290999,6.403002,default,default,,,,,,,6.694001,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",,,,,,,
Text,0.291,30.487,default,default,,,,,,,30.778,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. You'll just have to solve a series of puzzles, some playing in front of your eyes right now, but it won't be easy. Good news, you'll have slackbot, the powerful new ai from salesforce to help you decipher the puzzle. Like this thing. Is it a clue?. I don't know. The first one to slack me the hidden code will become a millionaire, so enjoy the game, then go win a million dollars!. What are you doing?. Scan the qr code",0.0,,english,,,,
Word,0.291,0.12,default,default,,,,,,,0.411,I,0.0,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",english,0.0,0.0,I,
Word,0.431,0.1599999999999999,default,default,,,,,,,0.5909999999999999,just,0.0,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",english,2.0,2.0,I just,
Word,0.631,0.1999999999999999,default,default,,,,,,,0.831,put,0.0,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",english,7.0,7.0,I just put,
Word,1.111,0.1,default,default,,,,,,,1.211,$1,0.0,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",english,12.0,12.0,I just put $1 ,
Word,1.472,0.7600000000000002,default,default,,,,,,,2.232,million,0.0,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",english,14.0,14.0,I just put $1 million,
Word,2.372,0.3400000000000003,default,default,,,,,,,2.712,inside,0.0,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",english,22.0,22.0,I just put $1 million inside,
Word,2.812,0.1600000000000001,default,default,,,,,,,2.972,this,0.0,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",english,29.0,29.0,I just put $1 million inside this,
Word,3.032,0.2999999999999998,default,default,,,,,,,3.332,"vault,",0.0,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",english,34.0,34.0,"I just put $1 million inside this vault,",
Word,3.692,0.0799999999999996,default,default,,,,,,,3.772,and,0.0,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",english,41.0,41.0,"I just put $1 million inside this vault, and",
Word,3.913,0.08,default,default,,,,,,,3.993,one,0.0,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",english,45.0,45.0,"I just put $1 million inside this vault, and one",
Word,4.033,0.08,default,default,,,,,,,4.113,of,0.0,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",english,49.0,49.0,"I just put $1 million inside this vault, and one of",
Word,4.133,0.2000000000000001,default,default,,,,,,,4.333,"you,",0.0,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",english,52.0,52.0,"I just put $1 million inside this vault, and one of you,",
Word,4.513,0.2199999999999997,default,default,,,,,,,4.733,"yes,",0.0,"I just put $1 million inside this vault, and one of you, yes, you watching, will literally win it all. ",english,57.0,57.0,"I just put $1 million inside this vault, and one of you, yes,",
