type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.05,default,default,,,,/content/drive/MyDrive/tribetest/Good Will Dunkin'.wav,44100.0,0.0,60.05,,,,,,,,
Video,0.0,60.05,default,default,,,,/content/drive/MyDrive/tribetest/Good Will Dunkin'.mp4,24.0,0.0,60.05,,,,,,,,
Sentence,0.090999,6.684002,default,default,,,,,,,6.7750010000000005,"Before the movie, a much better version of good will hunting was made as a sitcom with a real genius in the lead and some other actors. ",,,,,,,
Text,0.091,55.742,default,default,,,,,,,55.833,"Before the movie, a much better version of good will hunting was made as a sitcom with a real genius in the lead and some other actors. Hey, will, did you arrange the munchkins in the fibonacci sequence?. I got a genius working for me. He's such a genius, then why'd he put ice in his coffee, huh?. Come on, chucky, i'm just will hunting. I'm not a genius. I will marry the first man that can help me with the fibonacci sequence. How are you doing?. Smoothly. Don't you have a girlfriend?. We're on a break!. I don't need her. I still get everything i need right here at dunkin'. Hey, kid, if you're still single doing this boston shtick and working for dunkin' when you're 50, i'm gonna be very disappointed. Isn't that your girlfriend?. You like donuts?. Yeah. Well, this is my new boyfriend. How do you like these nuts?. One time",0.0,,english,,,,
Word,0.091,0.24,default,default,,,,,,,0.33099999999999996,Before,0.0,"Before the movie, a much better version of good will hunting was made as a sitcom with a real genius in the lead and some other actors. ",english,0.0,0.0,Before,
Word,0.351,0.08,default,default,,,,,,,0.431,the,0.0,"Before the movie, a much better version of good will hunting was made as a sitcom with a real genius in the lead and some other actors. ",english,7.0,7.0,Before the,
Word,0.451,0.3,default,default,,,,,,,0.751,"movie,",0.0,"Before the movie, a much better version of good will hunting was made as a sitcom with a real genius in the lead and some other actors. ",english,11.0,11.0,"Before the movie,",
Word,0.811,0.0399999999999999,default,default,,,,,,,0.851,a,0.0,"Before the movie, a much better version of good will hunting was made as a sitcom with a real genius in the lead and some other actors. ",english,18.0,18.0,"Before the movie, a",
Word,0.931,0.2009999999999998,default,default,,,,,,,1.132,much,0.0,"Before the movie, a much better version of good will hunting was made as a sitcom with a real genius in the lead and some other actors. ",english,20.0,20.0,"Before the movie, a much",
Word,1.272,0.24,default,default,,,,,,,1.512,better,0.0,"Before the movie, a much better version of good will hunting was made as a sitcom with a real genius in the lead and some other actors. ",english,25.0,25.0,"Before the movie, a much better",
Word,1.552,0.32,default,default,,,,,,,1.872,version,0.0,"Before the movie, a much better version of good will hunting was made as a sitcom with a real genius in the lead and some other actors. ",english,32.0,32.0,"Before the movie, a much better version",
Word,1.912,0.06,default,default,,,,,,,1.972,of,0.0,"Before the movie, a much better version of good will hunting was made as a sitcom with a real genius in the lead and some other actors. ",english,40.0,40.0,"Before the movie, a much better version of",
Word,2.012,0.1400000000000001,default,default,,,,,,,2.152,Good,0.0,"Before the movie, a much better version of good will hunting was made as a sitcom with a real genius in the lead and some other actors. ",english,43.0,43.0,"Before the movie, a much better version of good",
Word,2.172,0.1399999999999996,default,default,,,,,,,2.312,Will,0.0,"Before the movie, a much better version of good will hunting was made as a sitcom with a real genius in the lead and some other actors. ",english,48.0,48.0,"Before the movie, a much better version of good will",
Word,2.332,0.2200000000000002,default,default,,,,,,,2.552,Hunting,0.0,"Before the movie, a much better version of good will hunting was made as a sitcom with a real genius in the lead and some other actors. ",english,53.0,53.0,"Before the movie, a much better version of good will hunting",
