index,time_sec,video_frame_index,prediction_index,top_regions,png_path
0,0.0,0,0,L Sulcus orbital-H Shaped (2.64); R Sulcus suborbital (2.54); L Gyrus orbital (2.37); R Gyrus temporal inf (2.35); L Sulcus temporal inf (2.31); L Gyrus temporal inf (2.22); L Gyrus and Sulcus cingul-Ant (2.19); R Gyrus precentral (2.14),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Considering_What_Paris_2024_Paralympic_Games_20260429_194951/frame_0000_0000.0s.png
1,0.5,12,1,L Gyrus temporal inf (2.87); R Sulcus suborbital (2.74); L Sulcus orbital med-olfact (2.56); L Sulcus orbital-H Shaped (2.48); R Gyrus oc-temp med-Parahip (2.45); L Gyrus orbital (2.40); R Gyrus subcallosal (2.37); R Gyrus temporal inf (2.36),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Considering_What_Paris_2024_Paralympic_Games_20260429_194951/frame_0001_0000.5s.png
2,1.0,25,2,L Gyrus temporal inf (3.35); R Sulcus suborbital (2.81); R Sulcus oc-temp med and Lingual (2.78); L Gyrus orbital (2.77); R Gyrus temporal inf (2.66); R Sulcus temporal inf (2.64); L Sulcus precentral-sup-part (2.63); L Sulcus orbital-H Shaped (2.61),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Considering_What_Paris_2024_Paralympic_Games_20260429_194951/frame_0002_0001.0s.png
3,1.5,38,2,L Gyrus temporal inf (3.35); R Sulcus suborbital (2.81); R Sulcus oc-temp med and Lingual (2.78); L Gyrus orbital (2.77); R Gyrus temporal inf (2.66); R Sulcus temporal inf (2.64); L Sulcus precentral-sup-part (2.63); L Sulcus orbital-H Shaped (2.61),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Considering_What_Paris_2024_Paralympic_Games_20260429_194951/frame_0003_0001.5s.png
4,2.0,50,3,L Gyrus temporal inf (3.12); R Gyrus oc-temp med-Parahip (2.70); L Gyrus and Sulcus transv frontopol (2.66); R Gyrus subcallosal (2.63); L Sulcus orbital med-olfact (2.61); L Gyrus oc-temp med-Parahip (2.56); R Sulcus oc-temp med and Lingual (2.53); R Gyrus temporal inf (2.50),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Considering_What_Paris_2024_Paralympic_Games_20260429_194951/frame_0004_0002.0s.png
5,2.5,62,4,L Gyrus temporal inf (2.93); R Gyrus oc-temp med-Parahip (2.73); L Gyrus and Sulcus transv frontopol (2.63); R Gyrus temporal inf (2.54); L Sulcus orbital med-olfact (2.51); R Sulcus oc-temp med and Lingual (2.48); R Sulcus temporal inf (2.44); L Gyrus and Sulcus cingul-Ant (2.41),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Considering_What_Paris_2024_Paralympic_Games_20260429_194951/frame_0005_0002.5s.png
6,3.0,75,5,L Gyrus orbital (2.88); R Gyrus oc-temp med-Parahip (2.81); L Sulcus orbital med-olfact (2.78); L Gyrus temporal inf (2.70); L Gyrus and Sulcus transv frontopol (2.66); R Sulcus oc-temp med and Lingual (2.48); L Gyrus oc-temp med-Parahip (2.48); R Sulcus central (2.45),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Considering_What_Paris_2024_Paralympic_Games_20260429_194951/frame_0006_0003.0s.png
7,3.5,88,6,L Gyrus orbital (2.87); R Gyrus oc-temp med-Parahip (2.64); L Sulcus orbital med-olfact (2.54); L Gyrus and Sulcus transv frontopol (2.53); R Sulcus oc-temp med and Lingual (2.46); L Gyrus temporal inf (2.46); L Sulcus collat transv ant (2.38); R Sulcus central (2.37),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Considering_What_Paris_2024_Paralympic_Games_20260429_194951/frame_0007_0003.5s.png
8,4.0,100,6,L Gyrus orbital (2.87); R Gyrus oc-temp med-Parahip (2.64); L Sulcus orbital med-olfact (2.54); L Gyrus and Sulcus transv frontopol (2.53); R Sulcus oc-temp med and Lingual (2.46); L Gyrus temporal inf (2.46); L Sulcus collat transv ant (2.38); R Sulcus central (2.37),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Considering_What_Paris_2024_Paralympic_Games_20260429_194951/frame_0008_0004.0s.png
9,4.5,112,7,L Sulcus collat transv ant (2.63); R Sulcus oc-temp med and Lingual (2.61); L Gyrus orbital (2.56); R Gyrus oc-temp med-Parahip (2.51); R Sulcus central (2.49); R Sulcus subparietal (2.39); L Gyrus and Sulcus transv frontopol (2.37); R Sulcus suborbital (2.36),/content/drive/MyDrive/New project/deliverables/figures/brain_frames_0p5s/Considering_What_Paris_2024_Paralympic_Games_20260429_194951/frame_0009_0004.5s.png
