type,start,duration,timeline,subject,session,task,run,filepath,frequency,offset,stop,text,sequence_id,sentence,language,sentence_char,text_char,context,modality
Audio,0.0,60.0,default,default,,,,/content/drive/MyDrive/tribetest/Considering What   Paris 2024 Paralympic Games.wav,44100.0,0.0,60.0,,,,,,,,
Video,0.0,60.0,default,default,,,,/content/drive/MyDrive/tribetest/Considering What   Paris 2024 Paralympic Games.mp4,25.0,0.0,60.0,,,,,,,,
Sentence,0.31799900000000003,1.140002,default,default,,,,,,,1.4580009999999999,That biscotti's delicious. ,,,,,,,
Text,0.318,227.63199999999998,default,default,,,,,,,227.95,"That biscotti's delicious. I love the crunch. The texture's spot on. Really good. Gravity. It's totally self-centred. It wants to introduce your face to the floor, no matter who you are or what you look like. It breaks bones, hearts, and gives middle-aged men moods. Friction doesn't care. It's not here to make exceptions. You're going its way whether your lycra likes it or not. It's keeping your skin as a souvenir. Time doesn't stop for anyone. It just marches ruthlessly on. It says you're not going to qualify. You won't make the plane. Your pet's not coming back. You're not getting any younger. That force, that headwind, that 200-pound weight, that tennis ball headed straight for your face. That's a bit of magic. He's incredible for someone like that. He's so brave. She's doing so well considering. Considering what?. Of them give a flying toss. You are for what your backstory is. They would never say, he's amazing for someone in the wheelchair. That biscotti's delicious. I love the crunch. The texture's spot on. Really good. Gravity. It's totally self-centred. It wants to introduce your face to the floor, no matter who you are or what you look like. It breaks bones, hearts, and gives middle-aged men moods. Friction doesn't care. It's not here to make exceptions. You're going its way whether your lycra likes it or not. It's keeping your skin as a souvenir. Time doesn't stop for anyone. It just marches ruthlessly on. It says you're not going to qualify. You won't make the plane. Your pet's not coming back. You're not getting any younger. That force, that headwind, that 200-pound weight, that tennis ball headed straight for your face. That's a bit of magic. He's incredible for someone like that. He's so brave. She's doing so well considering. Considering what?. Of them give a flying toss. You are for what your backstory is. They would never say, he's amazing for someone in the wheelchair",0.0,,english,,,,
Word,0.318,0.12,default,default,,,,,,,0.438,That,0.0,That biscotti's delicious. ,english,0.0,0.0,That,
Word,0.458,0.54,default,default,,,,,,,0.998,biscotti's,0.0,That biscotti's delicious. ,english,5.0,5.0,That biscotti's,
Word,1.038,0.4199999999999999,default,default,,,,,,,1.458,delicious.,0.0,That biscotti's delicious. ,english,16.0,16.0,That biscotti's delicious.,
Sentence,1.758999,2.080002,default,default,,,,,,,3.8390009999999997,I love the crunch. ,,,,,,,
Word,1.759,0.3999999999999999,default,default,,,,,,,2.159,I,1.0,I love the crunch. ,english,0.0,27.0,That biscotti's delicious. I,
Word,2.459,0.3199999999999998,default,default,,,,,,,2.779,love,1.0,I love the crunch. ,english,2.0,29.0,That biscotti's delicious. I love,
Word,2.799,0.06,default,default,,,,,,,2.859,the,1.0,I love the crunch. ,english,7.0,34.0,That biscotti's delicious. I love the,
Word,2.919,0.92,default,default,,,,,,,3.839,crunch.,1.0,I love the crunch. ,english,11.0,38.0,That biscotti's delicious. I love the crunch.,
Sentence,4.218999,2.221002,default,default,,,,,,,6.4400010000000005,The texture's spot on. ,,,,,,,
Word,4.219,0.1009999999999999,default,default,,,,,,,4.32,The,2.0,The texture's spot on. ,english,0.0,46.0,That biscotti's delicious. I love the crunch. The,
Word,5.36,0.5,default,default,,,,,,,5.86,texture's,2.0,The texture's spot on. ,english,4.0,50.0,That biscotti's delicious. I love the crunch. The texture's,
Word,5.94,0.2999999999999998,default,default,,,,,,,6.24,spot,2.0,The texture's spot on. ,english,14.0,60.0,That biscotti's delicious. I love the crunch. The texture's spot,
Word,6.3,0.1400000000000005,default,default,,,,,,,6.44,on.,2.0,The texture's spot on. ,english,19.0,65.0,That biscotti's delicious. I love the crunch. The texture's spot on.,
Sentence,6.840999,0.48000199999999954,default,default,,,,,,,7.321001,Really good. ,,,,,,,
Word,6.841,0.2999999999999998,default,default,,,,,,,7.141,Really,3.0,Really good. ,english,0.0,69.0,That biscotti's delicious. I love the crunch. The texture's spot on. Really,
Word,7.181,0.1399999999999996,default,default,,,,,,,7.321,good.,3.0,Really good. ,english,7.0,76.0,That biscotti's delicious. I love the crunch. The texture's spot on. Really good.,
Sentence,7.440999,0.28000200000000025,default,default,,,,,,,7.721001,Gravity. ,,,,,,,
Word,7.441,0.2800000000000002,default,default,,,,,,,7.721,Gravity.,4.0,Gravity. ,english,0.0,82.0,That biscotti's delicious. I love the crunch. The texture's spot on. Really good. Gravity.,
Sentence,7.800999,1.5400019999999992,default,default,,,,,,,9.341000999999999,It's totally self-centred. ,,,,,,,
Word,7.801,0.1399999999999996,default,default,,,,,,,7.941,It's,5.0,It's totally self-centred. ,english,0.0,91.0,That biscotti's delicious. I love the crunch. The texture's spot on. Really good. Gravity. It's,
Word,7.961,0.379999999999999,default,default,,,,,,,8.341,totally,5.0,It's totally self-centred. ,english,5.0,96.0,That biscotti's delicious. I love the crunch. The texture's spot on. Really good. Gravity. It's totally,
Word,8.361,0.9799999999999986,default,default,,,,,,,9.341,self-centred.,5.0,It's totally self-centred. ,english,13.0,104.0,That biscotti's delicious. I love the crunch. The texture's spot on. Really good. Gravity. It's totally self-centred.,
Sentence,20.894999,7.405002000000001,default,default,,,,,,,28.300001,"It wants to introduce your face to the floor, no matter who you are or what you look like. ",,,,,,,
